date,region,duration_hours,cause,description,affected_customers,severity
2024-01-02,East,11,Human Error,Configuration error,40664,High
2024-01-02,North,5,Substation Problem,Control system failure,25751,Low
2024-01-03,South,3,Grid Overload,Peak demand exceeded capacity,18048,Critical
2024-01-12,North,18,Weather,Lightning strike on equipment,25482,Medium
2024-01-12,South,1,Human Error,Incorrect switching operation,31436,High
2024-01-13,West,9,Cyber Attack,DDoS attack on control system,3907,Medium
2024-01-14,West,3,Grid Overload,Peak demand exceeded capacity,10235,Medium
2024-01-15,North,17,Natural Disaster,Flood in power station,46904,Low
2024-01-16,East,8,Substation Problem,Control system failure,47224,Medium
2024-01-20,West,5,Human Error,Accidental equipment damage,49524,Low
2024-01-21,East,2,Cable Fault,Cable insulation failure,48791,High
2024-01-21,West,7,Substation Problem,Switchgear problem,1808,Low
2024-01-21,South,7,Maintenance,Equipment upgrade and testing,46728,Low
2024-01-24,South,3,Grid Overload,Circuit overload in residential area,24044,Medium
2024-01-25,South,6,Human Error,Accidental equipment damage,10396,Low
2024-01-26,North,9,Natural Disaster,Earthquake damaged infrastructure,17694,Medium
2024-01-28,West,20,Natural Disaster,Wildfire near transmission lines,31462,Low
2024-01-29,East,1,Transformer Issue,Overheating transformer,49428,High
2024-01-31,East,2,Substation Problem,Substation equipment malfunction,37339,Medium
2024-02-04,East,1,Grid Overload,Peak demand exceeded capacity,34826,Medium
2024-02-04,East,14,Natural Disaster,Earthquake damaged infrastructure,10609,High
2024-02-07,West,11,Cable Fault,Underground cable damage,41807,Medium
2024-02-08,East,7,Natural Disaster,Flood in power station,48614,Low
2024-02-08,North,15,Natural Disaster,Wildfire near transmission lines,38363,High
2024-02-09,West,3,Cyber Attack,Unauthorized access attempt,43379,Low
2024-02-11,North,3,Cyber Attack,DDoS attack on control system,25845,Low
2024-02-14,North,3,Cyber Attack,DDoS attack on control system,35429,Low
2024-02-14,West,7,Equipment Failure,Relay system error,6291,High
